ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
149.86927632,2.06560208,1.2181,-23.63,30.07,30,155.0,505112.0,65.0
149.78937092,2.405738,1.2198,-22.73,29.93,10,71.0,730549.0,749.0
150.08517213,2.35733623,1.2235,-23.34,29.95,20,93.0,699347.0,617.0
150.70999986,2.35360269,1.2242,-22.32,29.85,11,75.0,695683.0,607.0
150.42937092,2.56183998,1.2268,-22.76,30.13,21,142.0,833096.0,197.0
149.47534152,2.6845866,1.2327,-23.39,30.28,22,102.0,913370.0,393.0
149.86671016,2.43851082,1.2363,-22.67,29.67,16,89.0,751359.0,658.0
149.90472219,1.65100028,1.2418,-22.73,29.71,13,53.0,243560.0,488.0
149.51060111,2.39782773,1.243,-22.9,30.23,13,78.0,725820.0,754.0
150.33675608,1.71654355,1.245,-23.58,30.34,18,80.0,284458.0,694.0
150.73902847,2.2093448,1.2477,-22.53,30.34,10,68.0,599218.0,660.0
150.61470813,1.93418387,1.2561,-22.58,30.06,26,147.0,421845.0,67.0
149.7882506,2.56734577,1.2571,-22.79,30.45,15,69.0,836286.0,765.0
149.55121065,1.88409799,1.2573,-23.34,30.55,17,140.0,390880.0,77.0
150.53376599,2.57004901,1.2599,-23.01,29.85,17,128.0,839840.0,392.0
150.42649161,2.71924257,1.261,-23.69,30.63,25,154.0,935680.0,141.0
149.6337073,2.63969705,1.2639,-23.25,29.9,17,112.0,883702.0,213.0
149.69246955,1.72368966,1.2656,-22.79,29.71,20,111.0,289468.0,305.0
149.93896476,2.6412693,1.2662,-23.23,29.9,35,171.0,885034.0,68.0
150.27812636,2.54862138,1.2673,-23.28,29.91,23,148.0,823616.0,119.0
150.63047474,2.55632864,1.2719,-22.87,30.08,21,99.0,829141.0,426.0
149.7335337,2.48910119,1.2723,-23.02,29.83,12,63.0,784175.0,764.0
150.50886123,1.97593611,1.2723,-23.56,30.05,31,144.0,448526.0,105.0
149.47589518,1.66283448,1.2786,-23.77,30.09,15,55.0,252417.0,582.0
149.91787932,2.24458938,1.281,-22.86,30.1,23,100.0,622696.0,13.0
149.87693539,2.39776226,1.2822,-23.42,30.01,11,96.0,725350.0,701.0
150.74166043,2.51924113,1.2825,-22.1,29.76,11,34.0,804123.0,813.0
150.17995189,2.2860296,1.2832,-22.67,29.93,8,52.0,651198.0,805.0
150.49839436,2.78090767,1.2863,-22.91,30.51,12,124.0,972679.0,240.0
150.27224261,2.35064614,1.2881,-23.52,30.02,17,137.0,694403.0,209.0
150.16106598,2.5942355,1.29,-23.74,30.12,22,122.0,855304.0,55.0
