ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.64575614,2.39089005,1.0388,-22.75,29.71,46,135,721030.0,104.0
150.09794924,2.44679508,1.04,-23.37,29.98,19,57,757861.0,529.0
150.118422,2.00278309,1.04,-23.33,30.57,28,82,465742.0,633.0
150.14538019,2.27501632,1.0414,-22.04,29.84,25,92,642836.0,462.0
150.7489722,2.41914652,1.05,-22.92,29.89,20,67,739622.0,640.0
150.7288409,2.1735931,1.05,-23.07,29.84,30,96,575706.0,548.0
150.64460482,2.67797101,1.05,-23.41,29.98,36,88,910452.0,7.0
150.44669795,2.55495545,1.0539,-22.85,29.75,38,94,829061.0,232.0
150.71477484,2.29328044,1.0705,-23.82,30.23,29,127,656862.0,155.0
149.45424915,2.3011311,1.0729,-23.17,29.89,29,84,662651.0,171.0
150.72569251,2.63014805,1.0735,-21.63,29.58,11,42,878090.0,845.0
150.50242573,2.45064187,1.0781,-22.56,29.73,27,89,760106.0,570.0
150.55865781,2.24364054,1.0793,-23.82,30.16,33,97,623465.0,89.0
150.11027824,2.19397665,1.0821,-22.9,30.28,28,100,589323.0,250.0
149.68175761,2.77630297,1.0857,-23.03,29.93,14,58,970440.0,797.0
149.62721441,2.19740281,1.088,-22.36,30.07,44,121,590826.0,285.0
150.73527073,2.25607254,1.0882,-23.52,30.02,39,106,632027.0,346.0
150.61620642,2.21109852,1.0894,-22.7,30.11,19,65,600082.0,922.0
150.42856442,2.75443605,1.0908,-22.51,29.71,24,82,956375.0,339.0
149.84302569,1.98744892,1.0912,-23.62,30.05,19,69,455892.0,660.0
149.57488328,2.76932857,1.0959,-23.32,29.94,28,64,965978.0,788.0
149.61098415,1.85965597,1.1062,-22.99,29.8,27,78,375390.0,268.0
149.88922574,2.47013706,1.1071,-22.3,30.04,22,60,771957.0,27.0
150.14286219,2.13428466,1.1085,-24.73,30.29,41,126,539518.0,167.0
149.91415821,2.53900588,1.1098,-21.77,29.91,8,47,816870.0,929.0
150.16507718,2.34499538,1.1107,-22.51,29.62,10,68,689939.0,953.0
150.0214261,1.78035136,1.1113,-23.4,30.28,27,94,325086.0,745.0
149.7158663,2.26284455,1.1137,-22.91,29.9,41,115,635434.0,375.0
149.91674508,2.65600717,1.115,-22.94,30.13,38,113,894005.0,67.0
150.5321498,2.34894196,1.1173,-22.86,30.08,35,111,693450.0,3.0
149.52136618,1.70944892,1.1205,-22.66,30.2,22,66,280278.0,893.0
149.46240531,2.47325022,1.1222,-22.64,29.96,31,89,774649.0,630.0
150.2768228,2.27564387,1.1279,-22.68,29.7,33,120,643589.0,228.0
150.56589042,2.49644973,1.1427,-23.89,30.17,48,146,790959.0,99.0
150.11589908,1.67676138,1.1431,-23.1,30.47,33,96,259709.0,10.0
150.4717675,2.15791156,1.1432,-24.3,30.32,39,93,564354.0,340.0
149.56537111,2.44230208,1.1458,-22.86,30.26,40,119,753898.0,254.0
150.51761504,2.56556127,1.1465,-24.36,30.77,36,128,836995.0,134.0
150.69660138,2.13024623,1.147,-23.18,30.39,32,80,546451.0,680.0
150.03908059,2.48835987,1.1481,-23.34,29.95,30,89,784739.0,294.0
149.83679258,2.68923847,1.1483,-23.83,30.15,32,113,916700.0,371.0
150.01856094,1.65304062,1.1484,-21.91,29.42,27,70,244163.0,555.0
150.09125169,1.86684936,1.1489,-22.86,30.28,22,100,379432.0,602.0
149.47484366,1.80337468,1.1512,-22.33,30.03,21,72,340507.0,905.0
149.62379859,1.66678181,1.1563,-23.25,29.92,21,56,254703.0,779.0
149.64484652,2.13555768,1.1571,-24.04,30.23,48,135,550467.0,66.0
149.68569228,1.9198628,1.1583,-23.21,30.33,28,135,413524.0,327.0
149.49157671,2.44617668,1.1585,-22.64,30.0,24,88,756783.0,579.0
150.35733968,2.0881503,1.1599,-23.89,30.17,46,108,519857.0,120.0
150.25043421,2.04966659,1.1602,-23.37,29.96,55,136,494056.0,160.0
149.75018392,2.67934767,1.1622,-24.01,30.63,33,94,911221.0,442.0
149.88899201,1.80873956,1.1629,-23.6,30.04,17,54,341314.0,930.0
149.4591251,1.68478433,1.1631,-22.15,29.76,18,63,264818.0,815.0
150.55389268,2.69297346,1.1632,-23.44,29.99,29,95,918570.0,477.0
149.46006536,2.37057407,1.1634,-23.29,30.06,30,84,708450.0,565.0
149.77845626,2.21531346,1.1654,-23.83,30.15,28,96,604873.0,286.0
150.06187125,2.21828907,1.1658,-22.15,29.88,22,77,605082.0,795.0
150.37291764,2.20343068,1.1682,-23.3,29.92,34,99,595994.0,489.0
150.30974002,1.80434274,1.1694,-22.89,30.06,28,90,340092.0,607.0
150.62339391,2.77678006,1.1705,-22.77,30.24,31,67,970801.0,643.0
149.86674158,2.6083838,1.1711,-22.81,29.74,32,80,863248.0,333.0
149.62701735,2.62127664,1.1715,-22.75,29.71,31,72,870775.0,700.0
149.87392548,2.06088601,1.1803,-23.67,30.07,51,151,502608.0,74.0
149.56522989,2.55880251,1.1809,-22.42,29.58,25,84,830327.0,485.0
150.32538861,1.66067168,1.1842,-22.07,30.15,27,59,249076.0,778.0
149.62985432,2.69707772,1.1844,-22.67,29.98,22,76,921385.0,580.0
149.82073595,2.49632018,1.1849,-21.89,29.68,17,65,788622.0,833.0
150.19426403,1.78633665,1.1876,-23.21,29.89,33,106,328345.0,378.0
150.12481778,2.38229667,1.1878,-23.27,29.91,18,67,715572.0,806.0
150.30748147,1.89190957,1.188,-22.92,29.78,31,109,395320.0,512.0
150.45128444,1.91018654,1.1895,-23.87,30.15,34,92,407699.0,289.0
150.12317301,1.99741022,1.1903,-24.51,30.42,49,101,462521.0,87.0
