ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.10952739,2.5428898999999996,0.8981,-21.5,10.0,107.0,820013.0,574.0
150.22912924,2.40635845,0.8982,-23.18,11.0,52.0,732670.0,2586.0
150.07711443,2.54894154,0.8991,-23.09,9.0,72.0,826044.0,96.0
150.21049037,2.54837354,0.8992,-23.02,12.0,56.0,825376.0,1341.0
149.96307538,2.61311548,0.8993,-22.63,10.0,77.0,865973.0,2126.0
150.32477573,2.30580183,0.8998,-23.31,11.0,50.0,664292.0,1747.0
149.51913725,1.96486393,0.9,-23.16,9.0,58.0,441796.0,1565.0
149.94839664,2.42274038,0.9,-22.14,9.0,61.0,741720.0,1550.0
150.42003156,2.51410005,0.9001,-22.46,13.0,63.0,801102.0,1104.0
149.73157993,2.24370283,0.9009999999999999,-21.07,8.0,62.0,621782.0,2680.0
150.09094265,2.19874324,0.9018,-21.38,8.0,50.0,590674.0,917.0
150.15160967,2.60127237,0.9019,-21.96,17.0,78.0,858805.0,38.0
150.15810283,2.40461949,0.9021,-22.69,11.0,63.0,730669.0,82.0
150.16191446,2.60126126,0.9034,-22.86,15.0,64.0,859951.0,1109.0
150.18650598,2.59915868,0.9039,-22.29,13.0,55.0,857714.0,1300.0
150.28914872,2.21545632,0.905,-22.6,11.0,70.0,603680.0,1432.0
150.13444113,2.55843671,0.9063,-22.24,8.0,113.0,831326.0,789.0
150.21565489,2.39564389,0.9073,-22.52,21.0,90.0,724007.0,1066.0
150.09869127,2.54065043,0.9076,-22.69,17.0,91.0,819831.0,512.0
150.53011835,2.01109767,0.9079999999999999,-22.25,8.0,50.0,470075.0,2098.0
150.1611572,2.59794107,0.9082,-22.41,14.0,76.0,856991.0,2286.0
149.9197572,2.56732769,0.9083,-22.82,8.0,58.0,836963.0,2681.0
150.15919755,2.60534789,0.9084,-22.66,15.0,57.0,862498.0,1168.0
149.66113428,2.25696369,0.9089,-21.74,9.0,50.0,631634.0,1197.0
150.05583995,2.57333011,0.9092,-22.86,8.0,68.0,841676.0,700.0
150.16672815,2.52685261,0.9094,-22.02,8.0,55.0,809381.0,1571.0
149.71462797,2.19097158,0.9096,-23.47,9.0,54.0,587669.0,2329.0
149.92385758,2.64304218,0.9096,-22.96,10.0,85.0,886620.0,1150.0
149.66967605,2.22710064,0.9105,-20.99,9.0,71.0,610828.0,297.0
150.20862956,2.41186439,0.9107,-22.41,12.0,79.0,734305.0,2290.0
150.19916519999998,2.32483423,0.9109999999999999,-22.67,8.0,63.0,678323.0,2499.0
150.19655903,2.40018565,0.9129,-20.85,8.0,57.0,726443.0,2585.0
150.10200609,2.52725893,0.9129999999999999,-21.96,15.0,89.0,809469.0,1303.0
149.99664761,2.1545311000000003,0.9139,-23.42,9.0,61.0,563682.0,1100.0
150.04831825,2.21777788,0.9175,-22.68,17.0,75.0,604903.0,95.0
