ra,dec,redshift,brightness,LR,gal_id,cluster_id
150.67786025,2.23515673,0.9923,-19.93,28.63,615781.0,2.0
150.73046716,2.21959476,0.9924,-20.19,28.86,605264.0,2.0
150.74462359,2.20700466,0.994,-21.52,29.32,597008.0,2.0
150.47615201,1.91510875,0.9719,-21.99,29.89,409827.0,3.0
150.4619972,1.92524446,0.9701,-20.89,29.02,415898.0,3.0
150.47956334,1.95584187,0.9712,-22.5,29.62,435515.0,3.0
150.44955585,1.91887966,0.9751,-20.27,28.94,411797.0,3.0
150.45857513,1.95430159,0.9749,-19.69,28.96,433640.0,3.0
150.43181557,2.00067442,0.975,-22.98,29.56,463176.0,3.0
150.47644918,1.9571854,0.9733,-19.57,28.46,435091.0,3.0
150.51080953,1.97006049,0.9753,-21.81,29.73,443874.0,3.0
150.51077923,1.98528621,0.9731,-21.36,29.25,453014.0,3.0
150.39929161,1.93985516,0.9766,-20.16,28.65,424838.0,3.0
150.42804728,1.96467079,0.9767,-20.3,29.39,440000.0,3.0
150.48160508,1.91566533,0.9771,-20.55,29.5,409426.0,3.0
150.472174,1.94093252,0.9765,-21.63,29.65,425699.0,3.0
150.50941426,1.94749501,0.976,-22.63,29.67,430936.0,3.0
150.45285535,1.92142978,0.9787,-19.84,28.57,412920.0,3.0
150.44196104,1.95906614,0.9787,-19.71,28.55,436599.0,3.0
150.45697914,1.9238906,0.9821,-22.46,30.17,415779.0,3.0
150.40258235,1.93762166,0.9817,-20.04,28.11,422752.0,3.0
150.51352677,1.90646425,0.9819,-22.48,29.59,402617.0,3.0
150.50085773,1.9109117,0.9825,-20.55,29.65,405885.0,3.0
150.46863419,1.9368,0.9814,-23.06,29.84,424484.0,3.0
150.53208971,1.95333365,0.9817,-21.05,29.48,432791.0,3.0
150.40231397,1.94197471,0.9839,-22.25,29.8,426690.0,3.0
150.42963049,1.98779662,0.9848,-20.98,29.0,454515.0,3.0
150.52083099,1.9177168,0.9838,-21.48,29.29,411851.0,3.0
150.50749684,1.93111802,0.9845,-19.53,28.67,419177.0,3.0
150.46454921,1.93268585,0.9841,-21.32,29.16,420522.0,3.0
150.5205232,1.94667656,0.9836,-20.08,28.95,429350.0,3.0
150.4781817,1.94807951,0.9836,-20.72,29.14,429958.0,3.0
150.4749534,1.95488158,0.9847,-20.01,28.65,433986.0,3.0
150.53300701,1.95671865,0.9848,-19.77,28.86,434963.0,3.0
150.47724107,1.96966347,0.9837,-21.84,29.35,444316.0,3.0
150.40605964,1.94269882,0.9872,-22.37,29.96,427473.0,3.0
150.5290816,1.92875247,0.9869,-19.53,28.53,417581.0,3.0
150.44094305,1.91245411,0.9913,-19.91,28.86,407731.0,3.0
150.44960427,1.98714958,0.9902,-20.58,28.86,454369.0,3.0
150.46611796,1.94749237,0.9893,-21.12,29.07,429508.0,3.0
150.44486021,1.93487025,0.9927,-19.64,28.44,421890.0,3.0
150.43611759,1.95720078,0.9935,-21.35,29.42,436928.0,3.0
150.43629112,1.97128969,0.9943,-19.79,28.56,444140.0,3.0
150.42099489,1.9716973,0.9925,-20.32,28.88,444779.0,3.0
150.40524326,1.9155452,0.9944,-21.22,29.5,409696.0,3.0
150.41452025,2.51606104,0.7938,-19.56,28.46,801181.0,4.0
150.44187554,2.55907775,0.7919,-19.81,28.72,830640.0,4.0
150.47497352,2.56790636,0.7941,-20.55,29.27,837387.0,4.0
150.52095679,2.56336416,0.7919,-22.7,29.99,834839.0,4.0
150.52300888,2.5650526,0.7932,-20.96,29.3,834792.0,4.0
150.42055786,2.57932575,0.793,-19.62,28.69,843551.0,4.0
150.45298334,2.58939047,0.7942,-20.33,28.94,850691.0,4.0
150.45622816,2.6393184,0.7924,-22.33,30.15,884191.0,4.0
150.51456312,2.56924606,0.792,-19.88,29.06,836980.0,4.0
150.46570052,2.54674811,0.7949,-19.9,28.8,821879.0,4.0
150.50833034,2.56698007,0.7952,-21.61,29.66,836405.0,4.0
150.4929343,2.58378648,0.795,-19.69,28.88,846641.0,4.0
150.51142904,2.57724131,0.7957,-22.04,29.73,843565.0,4.0
150.51491926,2.62022502,0.7954,-20.43,28.78,870048.0,4.0
150.45344608,2.57554259,0.799,-20.14,28.92,841056.0,4.0
150.45403115,2.61113775,0.799,-20.65,29.06,864531.0,4.0
150.44038542,2.55602928,0.8002,-20.59,29.07,828212.0,4.0
150.47772996,2.56196926,0.8003,-21.03,29.19,832411.0,4.0
150.47972265,2.5659982,0.7998,-21.53,29.42,835406.0,4.0
150.48628068,2.58995837,0.8007,-21.37,29.43,851024.0,4.0
150.45631191,2.57139658,0.8021,-20.99,29.24,838920.0,4.0
150.44690341,2.56802101,0.8056,-19.89,28.64,836216.0,4.0
150.41990334,2.61251182,0.806,-21.36,29.34,865588.0,4.0
150.42001422,2.57462223,0.8051,-19.51,28.37,840514.0,4.0
150.43485151,2.64632258,0.8046,-21.34,29.44,888036.0,4.0
150.42648253,2.56562961,0.8066,-19.61,28.4,835194.0,4.0
150.4593432,2.5393713,0.8065,-21.12,29.47,817736.0,4.0
150.47341069,2.52724103,0.807,-21.02,29.07,809732.0,4.0
150.4789936,2.56802647,0.8074,-22.83,29.74,838958.0,4.0
150.42261126,2.58993367,0.8082,-21.88,29.46,851323.0,4.0
150.44096989,2.59022125,0.8078,-21.82,29.75,851610.0,4.0
150.42990396,2.54024166,0.8092,-21.18,29.79,818901.0,4.0
150.45142002,2.55179547,0.81,-20.72,28.85,825242.0,4.0
150.44026049,2.58778089,0.8091,-20.76,29.73,849548.0,4.0
150.47518265,2.57696976,0.8098,-19.68,28.55,842122.0,4.0
150.4850181,2.58937679,0.8101,-19.78,28.72,850130.0,4.0
150.49393015,2.58489546,0.8107,-19.96,28.87,847465.0,4.0
150.46734126,2.55156423,0.8114,-21.74,29.45,827218.0,4.0
150.40901295,2.61441927,0.8112,-21.63,29.45,867067.0,4.0
150.43956312,2.58810171,0.8133,-20.82,29.24,849787.0,4.0
150.18750017,1.71325407,0.9039,-19.83,28.61,281586.0,6.0
150.2224434,1.76408347,0.9012,-20.7,28.94,313425.0,6.0
150.20182148,1.79035892,0.9029,-19.74,28.49,329892.0,6.0
150.23962819,1.76569533,0.9037,-21.88,30.05,314711.0,6.0
150.27047592,1.81788543,0.9021,-20.34,29.44,347573.0,6.0
150.28005227,1.78004072,0.9027,-21.09,29.82,323334.0,6.0
150.29184769,1.79848537,0.9014,-20.16,28.73,335461.0,6.0
150.24697338,1.75592501,0.9042,-22.22,29.69,309019.0,6.0
150.22808226,1.76563545,0.9047,-19.52,28.71,314083.0,6.0
150.29673753,1.74694712,0.9087,-19.82,28.54,302250.0,6.0
150.18017986,1.80535192,0.9092,-20.82,29.1,340892.0,6.0
