ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
150.13317111,2.30506796,0.9284,-21.91,8,59,29.48,663352.0,172727.47375560674,1565
150.23681524,2.07796322,0.9293,-22.74,9,74,30.12,513623.0,172820.89649751008,369
149.9643175,2.31799891,0.9295,-21.7,11,62,29.83,671128.0,172841.6443674136,368
150.23496569999998,1.74396635,0.9296,-22.92,17,52,30.19,302184.0,172852.01656608534,1021
150.3733785,2.12139533,0.93,-23.07,10,67,30.24,540573.0,172893.49378911723,2135
150.49781101,2.15632069,0.93,-22.5,8,52,29.87,564190.0,172893.49378911723,796
150.07417034,2.2169282000000003,0.93,-22.14,8,73,29.77,604672.0,172893.49378911723,355
150.15173234,2.18868711,0.93,-22.81,18,58,30.25,586264.0,172893.49378911723,897
149.9510386,2.34062934,0.93,-22.62,12,61,29.9,687695.0,172893.49378911723,26
149.99124398,2.3282115,0.93,-23.08,18,71,30.23,679042.0,172893.49378911723,14
150.00947653,2.37596176,0.93,-22.25,14,57,29.91,711250.0,172893.49378911723,227
150.44583497,1.73225504,0.93,-23.5,9,67,30.27,295284.0,172893.49378911723,1575
150.00675371,2.38162113,0.9301,-22.52,9,76,29.62,714747.0,172903.86020272085,537
150.03858021,2.20900296,0.9303,-21.89,23,104,29.66,598968.0,172924.58956040576,5
149.88457842,2.22756067,0.9304,-21.77,8,58,29.48,611122.0,172934.95250479068,288
150.00735472,2.3012373,0.9306,-22.39,9,68,29.57,660177.0,172955.6749254043,1372
150.2151736,2.22357816,0.9308,-20.86,8,69,29.22,608405.0,172976.39272282115,2108
150.06095141,2.21419419,0.9311,-22.6,15,61,29.67,603004.0,173007.46075310736,40
150.22092752,2.22656952,0.9315,-22.09,8,56,29.45,611146.0,173048.86862362488,749
149.51919148,2.26539166,0.9323,-23.14,14,73,29.98,637488.0,173131.6289614996,1012
149.80978446,2.24277632,0.9329,-22.82,9,58,30.14,622213.0,173193.6507753057,2112
149.95712767,2.34394938,0.9329,-22.02,10,80,29.41,689515.0,173193.6507753057,70
150.26808592,2.03922602,0.9345,-22.17,8,70,29.47,487414.0,173358.83956004895,1948
150.22406342,2.13308735,0.9348,-22.01,10,51,29.91,547944.0,173389.77966646335,1434
