ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
150.45332143,2.06853776,0.8298,-23.53,10,50.0,30.02,506309.0,161898.77254804582,540.0
150.21844026,2.05774908,0.83,-23.79,10,64.0,30.12,498357.0,161921.98132773806,1339.0
150.52565346,2.18966984,0.83,-23.23,10,74.0,30.0,586803.0,161921.98132773806,178.0
149.97587764,2.35201979,0.8304,-21.79,8,59.0,29.46,695130.0,161968.38306094942,2789.0
150.09225507,2.20442841,0.831,-22.8,10,55.0,30.14,597349.0,162037.94611607693,2235.0
150.50201699,2.22931886,0.8321,-22.52,21,68.0,29.61,613866.0,162165.35524925045,1379.0
149.56444269,2.41024803,0.8325,-22.47,11,54.0,29.59,733995.0,162211.64637096238,2352.0
150.54253963,2.18330703,0.8327,-21.88,15,91.0,29.36,582952.0,162234.78404324857,23.0
150.52085593,2.24301197,0.8333,-21.74,10,62.0,29.5,622581.0,162304.16552237343,2338.0
150.4943878,2.28215895,0.8344,-23.4,9,52.0,29.98,648828.0,162431.2421369994,1791.0
150.39047143,2.14452511,0.835,-22.33,9,55.0,29.91,555646.0,162500.48975929795,1466.0
150.38357242,2.12814297,0.8362,-22.22,11,60.0,29.49,544902.0,162638.8435238413,2221.0
150.32365762,2.04399831,0.8369,-21.96,12,70.0,29.78,490179.0,162719.46286660925,1928.0
149.61085044,2.32226947,0.8370000000000001,-22.68,9,59.0,29.8,674963.0,162730.97468587235,1294.0
149.50306143,2.33521521,0.8370000000000001,-23.32,9,50.0,30.04,685216.0,162730.97468587235,2078.0
150.52519228,2.15075233,0.8396,-22.1,12,64.0,29.45,560153.0,163029.8237616797,711.0
150.42395922,1.95829263,0.8397,-22.83,17,50.0,29.88,438059.0,163041.30035442434,2194.0
150.15746339,2.40648791,0.8399,-22.37,11,50.0,29.52,732179.0,163064.24963320937,2045.0
149.6235369,2.39917444,0.84,-23.81,12,53.0,30.1,727087.0,163075.72231959135,278.0
149.66715531,2.37191406,0.84,-23.9,16,59.0,30.16,709386.0,163075.72231959135,1245.0
149.55172939,2.43718281,0.84,-23.73,10,59.0,30.09,752457.0,163075.72231959135,1114.0
150.54509207,2.14198417,0.84,-23.49,8,59.0,30.0,556026.0,163075.72231959135,167.0
150.55057340000002,2.21423473,0.84,-23.19,9,71.0,29.88,604077.0,163075.72231959135,1094.0
149.60660926,2.32756627,0.8433,-22.67,10,55.0,29.67,677906.0,163453.5916926966,1389.0
150.39207719,2.08589866,0.8434,-21.71,8,62.0,29.71,517350.0,163465.02021423663,719.0
149.88964932,2.29686455,0.8452,-21.54,11,57.0,29.82,656910.0,163670.51215294257,2332.0
150.56193180000002,2.19196986,0.8471,-22.35,16,58.0,30.17,587681.0,163886.96586536666,2336.0
149.61375713,2.33741798,0.8482,-21.89,8,57.0,29.57,685114.0,164012.06829576765,231.0
150.21452437,2.28010007,0.8482,-22.82,11,61.0,29.84,647098.0,164012.06829576765,73.0
149.72400626,2.6980751,0.8484,-22.41,14,55.0,29.98,922171.0,164034.79744355383,1154.0
150.50995753,2.13871436,0.8488,-22.0,10,60.0,29.82,551775.0,164080.24029032505,337.0
150.02694677,2.18814397,0.8491,-22.35,9,54.0,29.55,585020.0,164114.30891302228,1779.0
150.52814719999998,2.11550137,0.8497,-23.12,8,69.0,30.49,537357.0,164182.4114320438,1047.0
150.12886469999998,2.19322533,0.8499,-23.06,12,53.0,29.92,589111.0,164205.1019873711,1252.0
