ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.35648534,1.93852025,1.1771,-21.29,10.0,83.0,424013.0,6142.0
150.12823932,1.85002039,1.1773,-21.42,8.0,72.0,368260.0,2066.0
150.1038455,1.69117148,1.1784,-22.65,8.0,53.0,268988.0,6252.0
149.87392548,2.06088601,1.1803,-23.67,12.0,61.0,502608.0,4389.0
149.65025924,2.42982998,1.1808,-21.87,8.0,66.0,745874.0,5956.0
150.44765317,1.95054345,1.1821,-22.15,8.0,50.0,431912.0,6753.0
150.44547333,2.03352228,1.1829,-23.27,10.0,50.0,484285.0,1402.0
150.07644226,1.87572395,1.1832,-22.56,12.0,55.0,385922.0,1403.0
150.33046528,1.90208569,1.1833,-21.81,8.0,89.0,401588.0,6752.0
150.53496558,2.51766605,1.1840000000000002,-22.09,8.0,69.0,802579.0,6988.0
150.14924048,2.04534722,1.1843,-22.08,10.0,71.0,490901.0,4005.0
149.88871395,2.24433145,1.1844,-22.99,11.0,63.0,622927.0,4405.0
149.82073595,2.49632018,1.1849,-21.89,11.0,57.0,788622.0,1624.0
149.83508263,2.67767531,1.1853,-22.83,8.0,53.0,909132.0,4371.0
150.34077244,1.96526989,1.1869,-22.66,14.0,56.0,440786.0,58.0
150.11933263,2.02360229,1.1869,-21.66,8.0,64.0,476845.0,5960.0
149.59498529,2.43892471,1.1872,-22.53,9.0,76.0,751329.0,1627.0
149.85679795,2.20943195,1.1874,-20.79,8.0,73.0,598064.0,7028.0
150.19426403,1.78633665,1.1876,-23.21,10.0,69.0,328345.0,4366.0
150.57865027,1.95481158,1.1887,-22.36,9.0,68.0,434416.0,5954.0
150.45128444,1.91018654,1.1895,-23.87,13.0,50.0,407699.0,665.0
149.98610649,2.68575053,1.1897,-22.98,12.0,64.0,913748.0,4836.0
149.65277309,2.00377391,1.1899,-23.18,8.0,52.0,464952.0,6495.0
150.12317301,1.99741022,1.1903,-24.51,14.0,55.0,462521.0,389.0
150.37728999,1.91937144,1.1903,-22.5,8.0,53.0,412604.0,4838.0
149.59654198,1.95075771,1.1904,-22.08,13.0,68.0,431505.0,4376.0
149.63668527,2.34184113,1.1907,-22.79,9.0,75.0,687614.0,4821.0
150.31508737,1.97189479,1.1909999999999998,-22.0,10.0,79.0,444830.0,891.0
150.35326072,1.91879387,1.1917,-23.7,9.0,84.0,412858.0,4169.0
150.1058164,1.93927806,1.1928,-22.51,11.0,72.0,426143.0,5030.0
149.95653978,2.11220754,1.1937,-21.67,9.0,53.0,533161.0,6417.0
150.33318558,2.52871858,1.1946,-21.65,9.0,50.0,810095.0,2253.0
149.64537651,2.11862141,1.1948,-22.58,12.0,65.0,537755.0,4342.0
150.07777001,2.03705546,1.1953,-23.69,16.0,62.0,486637.0,889.0
150.46909342,1.75849524,1.1955,-22.28,11.0,65.0,310210.0,4234.0
149.88993861,2.23740683,1.1955,-23.24,11.0,60.0,618604.0,4013.0
150.35713523,1.97334695,1.1957,-23.65,9.0,70.0,447792.0,3913.0
150.16685794,1.99139057,1.1961,-22.17,11.0,54.0,458400.0,4411.0
149.89265042,2.26904484,1.1962,-23.34,8.0,71.0,639828.0,6217.0
150.15047414,1.99640668,1.1962,-22.37,11.0,68.0,459712.0,801.0
150.25277768,2.07205035,1.1985,-22.05,9.0,82.0,507916.0,6077.0
150.31459489,2.28891826,1.2,-23.03,12.0,65.0,652572.0,5028.0
149.85154326,2.00131576,1.2014,-22.37,8.0,50.0,464297.0,6358.0
149.621163,2.09199185,1.2029,-24.17,9.0,60.0,522790.0,3457.0
150.62402395,2.36385043,1.2036,-23.53,8.0,51.0,703914.0,5333.0
149.62123001,2.06608136,1.2044,-22.47,9.0,85.0,503869.0,3691.0
149.80622531,2.32174603,1.2048,-22.14,8.0,51.0,674905.0,4146.0
149.65450027,2.08071889,1.2048,-22.84,12.0,95.0,513886.0,1465.0
150.00575778,2.65489865,1.2061,-23.0,10.0,57.0,894598.0,2270.0
149.76657078,2.01945367,1.2062,-22.25,8.0,58.0,474460.0,5457.0
150.59895131,1.94147468,1.2066,-23.52,8.0,62.0,426303.0,6356.0
149.91909191,2.0597646000000003,1.2087,-22.91,10.0,61.0,500465.0,4057.0
150.41784831,2.55851659,1.2097,-23.26,8.0,56.0,831023.0,4723.0
149.75001255,2.00722503,1.2102,-23.07,14.0,78.0,467994.0,648.0
150.15708603,2.06684089,1.2116,-23.55,8.0,61.0,506684.0,6840.0
149.70603008,2.03974026,1.2128,-22.67,8.0,93.0,485557.0,4552.0
149.86439325,2.07374539,1.214,-22.74,13.0,52.0,509671.0,6655.0
150.26712049,2.46198845,1.2144,-23.34,10.0,58.0,767347.0,4190.0
