ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
149.67386727,2.35560729,0.9563,-22.1,8,54,697574.0,4629
149.64625080000005,2.43801641,0.957,-21.83,13,66,750737.0,4837
149.65780414,2.22242446,0.9572,-22.08,8,70,608909.0,253
149.70095871,2.26755724,0.9574,-22.32,9,79,638492.0,2409
149.78207884,2.22451592,0.9575,-22.03,8,76,609890.0,5388
150.44534965,2.09673845,0.9585,-21.93,8,57,524141.0,4798
150.09079871,2.14465013,0.9586,-22.69,8,70,557063.0,4392
149.61761683,2.11578398,0.9586,-23.66,18,94,537719.0,197
149.44892312,2.5079742,0.9593,-23.7,11,50,798826.0,1287
149.63850648,2.15282701,0.9597,-22.77,12,84,562024.0,3126
149.66468637,2.3243634,0.9597,-23.05,7,70,676659.0,3189
149.78336056,2.03262054,0.9603,-22.69,9,59,483691.0,4628
149.62395082,2.40614867,0.9604,-21.76,9,69,729927.0,1993
149.69216686,2.0514234,0.961,-23.08,9,63,495974.0,5307
150.15689417,1.94027157,0.9611,-21.98,13,50,425332.0,670
149.64996132,2.28322781,0.9614,-21.85,8,75,648327.0,1989
149.72871586,2.18544643,0.9617,-22.15,13,62,583211.0,4807
149.9378436,2.28473948,0.9625,-22.01,8,64,648988.0,1278
150.71080642,2.41178692,0.9627,-21.92,8,61,733732.0,995
149.64156452,2.33341567,0.9628,-23.44,15,77,682941.0,39
149.55463376,1.96316635,0.9632,-21.63,7,65,439356.0,4620
150.67076994,2.20928478,0.9635,-22.38,8,64,598949.0,536
149.877696,2.13595594,0.9635,-21.81,9,57,549976.0,4915
149.55759779,2.26431623,0.9637,-22.42,8,67,635786.0,2931
150.05611745,2.27126945,0.964,-22.18,8,51,641245.0,2072
149.64346274,2.20735479,0.964,-22.05,14,57,597819.0,3213
150.19628696,2.10988837,0.9644,-21.82,13,53,533366.0,4804
149.65079521,2.21077102,0.9646,-22.08,15,76,599854.0,2989
150.68555619,2.12427649,0.9647,-22.17,9,64,542159.0,4038
149.77023835,2.31089101,0.965,-21.26,8,53,666293.0,4417
149.57327671,2.15438762,0.9652,-22.15,11,92,562204.0,4808
150.39164842,2.72178663,0.9664,-21.19,8,54,935919.0,4032
149.60329706,2.28086934,0.9665,-23.18,10,62,647607.0,792
149.50955242,2.26230084,0.9666,-22.3,9,53,635357.0,441
149.66511966,2.3477796000000004,0.967,-22.47,13,56,692069.0,1231
150.03514933,2.13665164,0.9671,-22.27,8,56,550077.0,4899
149.63511967,2.30271008,0.9677,-22.38,11,86,661583.0,516
149.95102817,2.39118037,0.969,-20.72,8,58,720835.0,5310
149.56677435,2.16228538,0.9698,-22.31,10,58,568019.0,3896
149.669803,1.90169778,0.9704,-22.36,12,56,401880.0,935
150.28263738,2.54561164,0.9706,-23.28,9,50,823637.0,4337
149.67238129,2.40441369,0.9713,-22.1,8,58,729854.0,4797
149.48146525,2.00626635,0.9713,-23.58,15,58,468056.0,78
149.65927256,2.21951087,0.9734,-21.65,14,86,605677.0,418
149.56622342,2.47360984,0.974,-21.25,7,61,773877.0,5075
149.68367103,2.19100644,0.9741,-21.86,13,99,586726.0,854
149.83212245,2.56953815,0.9748,-22.93,18,75,838905.0,2947
150.5428889,2.27407025,0.9748,-22.11,9,59,642516.0,4040
149.77965774,2.30467688,0.9756,-21.39,9,60,661936.0,3558
150.50941426,1.94749501,0.976,-22.63,6,61,430936.0,3711
150.29564681,2.0349543000000003,0.9761,-22.96,7,61,484128.0,578
150.08029079,2.68001648,0.9774,-22.36,7,72,909449.0,4802
150.41282493,1.67770763,0.9781,-23.62,8,50,261495.0,4621
149.58307659999997,2.12750527,0.9784,-22.5,11,90,544038.0,3698
149.71561474,1.79553199,0.9801,-22.25,10,59,334594.0,4419
149.67648394,2.4084709,0.9806,-22.59,10,55,733238.0,4650
149.61201637,2.05464687,0.981,-21.96,7,67,497376.0,4345
150.66569632,2.37600762,0.9819,-22.19,13,69,711302.0,612
150.69375722,2.36411557,0.9833,-22.1,10,62,702844.0,1976
150.30239806,1.73081303,0.9833,-22.8,11,58,294430.0,1001
150.45348544,2.49107807,0.9843,-22.38,11,73,787616.0,3592
149.48916822,2.03419075,0.9853,-23.46,10,55,483843.0,513
149.498164,2.00417323,0.9853,-22.32,21,79,465608.0,2951
150.42616783,1.85492009,0.9863,-23.67,23,54,370883.0,2961
150.00826535,2.19707803,0.9868,-22.54,9,61,590559.0,2811
149.56167153,2.170952,0.987,-23.24,9,87,575624.0,3358
150.66242081,2.38039387,0.9876,-22.27,11,63,713613.0,791
149.59388696,2.06263828,0.9884,-22.17,7,52,501847.0,4926
150.02549664,2.21737062,0.9885,-22.67,11,60,604966.0,1437
150.6357634,2.42191377,0.9888,-23.05,9,57,741352.0,4682
150.07110918,2.26315459,0.9889,-22.83,11,59,635972.0,4049
149.52650409,2.11179957,0.989,-24.13,9,58,534927.0,4051
149.98056908,2.66650884,0.9892,-22.21,7,57,900715.0,3377
150.1250261,2.71547326,0.99,-22.7,9,68,932982.0,1947
149.64131594,2.21342008,0.991,-23.15,9,54,602274.0,3212
149.6562981,2.23585913,0.992,-22.38,8,55,617181.0,4043
149.68140605,2.23069841,0.9923,-22.69,7,78,609623.0,2705
149.62793934,2.18170031,0.9938,-21.69,13,85,580086.0,4678
150.60541453,2.373685,0.9945,-22.57,7,52,709619.0,5303
149.50709636,2.21272752,0.9948,-23.3,8,56,603296.0,3979
149.51945816,1.83067324,0.9949,-21.45,9,57,355938.0,4680
149.60551569,2.11348643,0.997,-21.93,8,53,534336.0,5308
149.75947061,2.28511195,1.0002,-23.17,9,56,650734.0,2092
149.76866548,2.01364886,1.0017,-22.29,9,58,471425.0,4803
149.54956812,2.10173629,1.002,-20.99,8,50,526815.0,983
149.82019525,2.35363951,1.0027,-22.81,10,50,696230.0,3688
149.7525381,2.21403636,1.0038,-23.59,9,69,603983.0,3173
