,cluster_id,ra,dec,redshift,group,Ngal,type
10062,559988,149.720213,2.150777,0.6964,2335,6,satellite
10066,560082,150.46584,2.151591,1.0755,5826,9,satellite
10069,560153,150.525192,2.150752,0.8396,3246,35,satellite
10070,560155,149.860471,2.151245,0.9477,4414,28,satellite
10072,560172,150.004286,2.151864,0.9653,3455,121,satellite
10076,560273,150.128245,2.149442,1.1363,6583,8,satellite
10077,560275,149.41679,2.152627,0.7229,2508,2,satellite
10082,560410,150.224795,2.152797,0.8578,3800,4,satellite
10083,560422,150.35613,2.152687,1.1937,7219,2,satellite
10084,560456,149.895554,2.153309,1.1606,6704,3,satellite
10085,560491,150.467981,2.151713,0.8782,3121,61,satellite
10086,560502,150.307267,2.148707,0.3015,241,3,satellite
10088,560548,150.4587,2.152292,0.8877,3121,61,satellite
10090,560555,150.001143,2.153044,1.0168,5457,6,satellite
10093,560715,149.812781,2.151891,0.9394,4716,2,satellite
10095,560802,150.528621,2.152157,0.543,1160,26,satellite
10096,560816,149.922716,2.150771,0.9327,4563,2,satellite
10099,561048,150.582338,2.148694,0.5238,1160,26,satellite
10100,561062,150.00319,2.154156,0.836,3247,10,satellite
10102,561127,150.004456,2.153667,0.9597,3455,121,satellite
10104,561202,149.691865,2.153897,1.1517,6765,2,satellite
10105,561244,150.293753,2.154298,0.6595,1959,5,satellite
10107,561404,150.523243,2.152673,0.5525,1160,26,satellite
10108,561445,149.599055,2.152721,0.9936,5254,6,satellite
10109,561450,150.111727,2.150801,0.7322,2441,18,satellite
10110,561501,150.466763,2.154524,0.89,3121,61,satellite
10111,561504,150.528896,2.154673,0.8221,3246,35,satellite
10112,561515,149.999189,2.154299,0.8598,3799,2,satellite
10119,561676,150.250792,2.155075,1.0849,6004,3,satellite
10123,561773,150.176264,2.154285,0.6602,1909,27,satellite
10124,561972,149.572707,2.155707,1.0445,5772,3,satellite
10126,561998,150.295138,2.154674,1.0179,5632,3,satellite
10127,562024,149.638506,2.152827,0.9597,4562,37,satellite
10129,562067,150.670964,2.154939,0.9147,4297,5,satellite
10130,562068,149.723386,2.154532,0.6369,1770,5,satellite
10132,562087,150.696741,2.154087,0.41,691,3,satellite
10133,562100,150.002504,2.154696,0.8206,3247,10,satellite
10138,562165,149.997893,2.155468,0.9754,3455,121,satellite
10139,562178,150.10918,2.151588,1.1268,6359,5,satellite
10140,562204,149.573277,2.154388,0.9652,4719,14,satellite
10141,562208,150.194477,2.155104,0.9413,4717,4,satellite
10142,562218,149.784074,2.155385,0.9462,4301,8,satellite
10143,562221,149.435786,2.154562,0.4298,802,5,satellite
10144,562239,149.84163,2.155442,1.0054,5459,9,satellite
10146,562307,149.988436,2.152864,0.7331,2649,2,satellite
10148,562326,150.000563,2.154334,0.9634,3455,121,satellite
10152,562397,150.531734,2.152017,0.8257,3246,35,satellite
10153,562399,150.487054,2.15514,1.1475,6705,4,satellite
